@relation dataset-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C9-L1-5-V-H-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C10-L1-3-V-H-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C11-L1-3-V-H

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute outputs-1 {0,1,2,3,4}
@attribute outputs-2 {0,1,2}
@attribute outputs-3 {0,1,2}

@data
141,'2019/10/29 11:01:54:260',10,0,0,554,178,0,?,2,?
142,'2019/10/29 11:01:54:276',10,0,0,560,258,0,?,2,?
143,'2019/10/29 11:01:54:293',10,0,0,560,302,0,?,2,?
144,'2019/10/29 11:01:54:310',10,0,0,560,302,0,?,2,?
145,'2019/10/29 11:01:54:328',10,0,0,552,351,0,?,2,?
146,'2019/10/29 11:01:54:344',10,0,0,552,351,0,?,2,?
147,'2019/10/29 11:01:54:360',10,0,0,526,392,0,?,2,?
148,'2019/10/29 11:01:54:377',10,0,0,526,392,0,?,2,?
149,'2019/10/29 11:01:55:126',11,0,0,244,132,0,?,2,?
150,'2019/10/29 11:01:55:142',11,0,0,244,132,0,?,2,?
151,'2019/10/29 11:01:55:159',11,0,0,275,117,0,?,2,?
152,'2019/10/29 11:01:55:175',11,0,0,275,117,0,?,2,?
153,'2019/10/29 11:01:55:192',11,0,0,305,105,0,?,2,?
154,'2019/10/29 11:01:55:209',11,0,0,305,105,0,?,2,?
155,'2019/10/29 11:01:55:226',11,0,0,335,97,0,?,2,?
156,'2019/10/29 11:01:55:243',11,0,0,335,97,0,?,2,?
157,'2019/10/29 11:01:55:259',11,0,0,368,97,0,?,2,?
158,'2019/10/29 11:01:55:276',11,0,0,368,97,0,?,2,?
159,'2019/10/29 11:01:55:292',11,0,0,400,106,0,?,2,?
160,'2019/10/29 11:01:55:309',11,0,0,400,106,0,?,2,?
161,'2019/10/29 11:01:55:326',11,0,0,428,122,0,?,2,?
162,'2019/10/29 11:03:13:691',12,0,0,17,20,0,?,2,?
163,'2019/10/29 11:03:13:708',12,0,0,17,20,0,?,2,?
164,'2019/10/29 11:03:13:724',12,0,0,17,21,0,?,2,?
165,'2019/10/29 11:03:13:740',12,0,0,17,21,0,?,2,?
166,'2019/10/29 11:03:13:757',12,0,0,16,20,0,?,2,?
167,'2019/10/29 11:03:13:774',12,0,0,16,20,0,?,2,?
168,'2019/10/29 11:03:13:791',12,0,0,15,20,0,?,2,?
169,'2019/10/29 11:03:13:808',12,0,0,15,20,0,?,2,?
170,'2019/10/29 11:03:13:824',12,0,0,14,20,0,?,2,?
171,'2019/10/29 11:03:13:841',12,0,0,14,20,0,?,2,?
172,'2019/10/29 11:03:13:858',12,0,0,14,19,0,?,2,?
173,'2019/10/29 11:03:13:874',12,0,0,14,19,0,?,2,?
174,'2019/10/29 11:03:13:890',12,0,0,14,21,0,?,2,?
175,'2019/10/29 11:03:16:090',13,0,0,23,17,0,?,2,?
176,'2019/10/29 11:03:16:106',13,0,0,23,17,0,?,2,?
177,'2019/10/29 11:03:16:123',13,0,0,24,18,0,?,2,?
178,'2019/10/29 11:03:16:140',13,0,0,24,18,0,?,2,?
179,'2019/10/29 11:03:16:157',13,0,0,26,18,0,?,2,?
180,'2019/10/29 11:03:16:173',13,0,0,26,18,0,?,2,?
181,'2019/10/29 11:03:16:190',13,0,0,28,19,0,?,2,?
182,'2019/10/29 11:03:16:207',13,0,0,28,19,0,?,2,?
183,'2019/10/29 11:03:16:223',13,0,0,29,19,0,?,2,?
184,'2019/10/29 11:03:16:240',13,0,0,29,19,0,?,2,?
185,'2019/10/29 11:03:16:257',13,0,0,30,19,0,?,2,?
186,'2019/10/29 11:03:16:273',13,0,0,30,19,0,?,2,?
187,'2019/10/29 11:03:16:290',13,0,0,32,21,0,?,2,?
188,'2019/10/29 11:03:16:306',13,0,0,32,21,0,?,2,?
189,'2019/10/29 11:03:16:323',13,0,0,32,22,0,?,2,?
190,'2019/10/29 11:03:16:340',13,0,0,32,22,0,?,2,?
191,'2019/10/29 11:03:16:357',13,0,0,32,21,0,?,2,?
192,'2019/10/29 11:03:16:373',13,0,0,32,21,0,?,2,?
